spot_id,track_id_unique,track_id_parent
16882,2,1
16947,2,1
17026,2,1
17058,2,1
17079,2,1
17084,2,1
17164,2,1
17174,2,1
17200,2,1
17306,2,1
17322,2,1
17452,2,1
17465,2,1
17481,2,1
17562,2,1
17658,2,1
17670,2,1
17775,2,1
17794,2,1
17818,2,1
17837,2,1
17852,2,1
17869,2,1
17884,2,1
17901,2,1
17923,2,1
17931,2,1
17941,2,1
17960,2,1
17999,2,1
18017,2,1
18047,2,1
18066,2,1
18073,2,1
18086,2,1
18098,2,1
18113,2,1
18134,2,1
18151,2,1
18171,2,1
18189,2,1
18572,2,1
18598,2,1
18623,2,1
18636,2,1
18649,2,1
18669,2,1
18798,2,1
18838,2,1
18848,2,1
18861,2,1
18879,2,1
18890,2,1
18916,2,1
18932,2,1
18939,2,1
18956,2,1
6566,3,1
14509,3,1
14514,3,1
14540,3,1
14550,3,1
14560,3,1
14565,3,1
14610,3,1
14631,3,1
14650,3,1
14655,3,1
14666,3,1
14676,3,1
14687,3,1
14725,3,1
14755,3,1
14789,3,1
14816,3,1
14838,3,1
14916,3,1
14947,3,1
14966,3,1
14998,3,1
15032,3,1
15070,3,1
15092,3,1
15101,3,1
15115,3,1
15128,3,1
15143,3,1
15158,3,1
15202,3,1
15185,3,1
15214,3,1
15233,3,1
15253,3,1
15269,3,1
15299,3,1
15327,3,1
15339,3,1
15363,3,1
15380,3,1
15690,3,1
15697,3,1
15704,3,1
15712,3,1
15724,3,1
15741,3,1
15761,3,1
15784,3,1
15810,3,1
15817,3,1
15836,3,1
15867,3,1
15877,3,1
15888,3,1
15901,3,1
15921,3,1
15959,3,1
15975,3,1
15990,3,1
15996,3,1
16013,3,1
16025,3,1
16045,3,1
16051,3,1
16062,3,1
16074,3,1
16158,3,1
16175,3,1
16189,3,1
16201,3,1
16217,3,1
16228,3,1
16261,3,1
16268,3,1
16280,3,1
16300,3,1
16317,3,1
16479,3,1
16498,3,1
16521,3,1
19212,3,1
16577,3,1
16630,3,1
16641,3,1
16687,3,1
16694,3,1
16729,3,1
16737,3,1
16763,3,1
16783,3,1
16790,3,1
16807,3,1
16828,3,1
16839,3,1
16853,3,1
16858,3,1
16885,3,1
17019,3,1
17028,3,1
17060,3,1
17081,3,1
17086,3,1
17166,3,1
17176,3,1
17202,3,1
17304,3,1
17360,3,1
17454,3,1
17467,3,1
17483,3,1
17566,3,1
17660,3,1
17674,3,1
17779,3,1
17798,3,1
17820,3,1
17841,3,1
17854,3,1
17871,3,1
17887,3,1
17903,3,1
17925,3,1
17933,3,1
17943,3,1
17962,3,1
18001,3,1
18019,3,1
18049,3,1
18068,3,1
18075,3,1
18088,3,1
18100,3,1
18115,3,1
18136,3,1
18154,3,1
18173,3,1
18191,3,1
18574,3,1
18601,3,1
18625,3,1
18638,3,1
18657,3,1
18672,3,1
18800,3,1
18840,3,1
18850,3,1
18863,3,1
18881,3,1
18892,3,1
18918,3,1
18934,3,1
18941,3,1
18959,3,1
10587,4,0
10631,4,0
10655,4,0
10686,4,0
10839,4,0
10870,4,0
10903,4,0
10990,4,0
11023,4,0
11125,4,0
11136,4,0
11143,4,0
11149,4,0
141468,4,0
11211,4,0
11302,4,0
11375,4,0
11408,4,0
11466,4,0
11492,4,0
11524,4,0
11548,4,0
11555,4,0
11558,4,0
11572,4,0
11580,4,0
11586,4,0
2417,4,0
11606,4,0
2435,4,0
11622,4,0
11626,4,0
11636,4,0
11656,4,0
11666,4,0
11810,4,0
11894,4,0
11908,4,0
11925,4,0
11942,4,0
11952,4,0
11967,4,0
11991,4,0
11996,4,0
12013,4,0
12114,4,0
12131,4,0
12151,4,0
12180,4,0
10908,4,0
10977,4,0
12197,4,0
12212,4,0
12256,4,0
2682,4,0
2671,4,0
2746,4,0
2814,4,0
2767,4,0
2705,4,0
2694,4,0
2722,4,0
2801,4,0
2779,4,0
2766,4,0
2809,4,0
2879,4,0
2826,4,0
2928,4,0
2911,4,0
2837,4,0
2861,4,0
2851,4,0
2956,4,0
2951,4,0
2901,4,0
2895,4,0
3015,4,0
2932,4,0
2971,4,0
2985,4,0
2996,4,0
3123,4,0
3018,4,0
3037,4,0
3139,4,0
3203,4,0
3048,4,0
3110,4,0
3062,4,0
3073,4,0
3187,4,0
3094,4,0
3197,4,0
3134,4,0
3168,4,0
3164,4,0
3303,4,0
3217,4,0
3310,4,0
3230,4,0
3394,4,0
3372,4,0
3445,4,0
3245,4,0
3262,4,0
3421,4,0
3281,4,0
3465,4,0
3322,4,0
3340,4,0
3371,4,0
3422,4,0
3444,4,0
3552,4,0
3583,4,0
3506,4,0
3481,4,0
3579,4,0
3509,4,0
3604,4,0
3652,4,0
3544,4,0
3555,4,0
3761,4,0
3766,4,0
3748,4,0
3655,4,0
3616,4,0
3705,4,0
3689,4,0
3683,4,0
3725,4,0
3895,4,0
3800,4,0
3787,4,0
3844,4,0
3965,4,0
3894,4,0
3840,4,0
3879,4,0
3882,4,0
3953,4,0
4001,4,0
4056,4,0
3929,4,0
3937,4,0
3993,4,0
4130,4,0
4060,4,0
4030,4,0
4053,4,0
4158,4,0
4081,4,0
4098,4,0
4116,4,0
4276,4,0
4160,4,0
4302,4,0
4183,4,0
4198,4,0
4400,4,0
4211,4,0
4230,4,0
4245,4,0
4259,4,0
4383,4,0
4301,4,0
4432,4,0
4321,4,0
4339,4,0
4378,4,0
4396,4,0
4465,4,0
4466,4,0
4439,4,0
4555,4,0
4518,4,0
4580,4,0
4595,4,0
4566,4,0
4573,4,0
4503,4,0
4613,4,0
4669,4,0
4742,4,0
4645,4,0
4646,4,0
4698,4,0
4702,4,0
4778,4,0
4770,4,0
4724,4,0
4917,4,0
4871,4,0
4813,4,0
4854,4,0
4890,4,0
4931,4,0
4841,4,0
4950,4,0
4896,4,0
5070,4,0
4966,4,0
4974,4,0
5002,4,0
5020,4,0
5075,4,0
5143,4,0
5126,4,0
5038,4,0
5201,4,0
5077,4,0
5155,4,0
5166,4,0
5115,4,0
5379,4,0
5196,4,0
5231,4,0
5239,4,0
5296,4,0
5423,4,0
5276,4,0
5477,4,0
5297,4,0
5328,4,0
5357,4,0
5374,4,0
5598,4,0
5440,4,0
5437,4,0
5490,4,0
5501,4,0
5549,4,0
5529,4,0
5597,4,0
5581,4,0
5676,4,0
5627,4,0
5689,4,0
5833,4,0
5794,4,0
5668,4,0
5750,4,0
5752,4,0
5748,4,0
5788,4,0
5905,4,0
6009,4,0
5843,4,0
5873,4,0
5883,4,0
6177,4,0
5936,4,0
5997,4,0
6122,4,0
5964,4,0
6015,4,0
6259,4,0
6084,4,0
6110,4,0
6151,4,0
6170,4,0
6206,4,0
6306,4,0
6238,4,0
6275,4,0
6452,4,0
6338,4,0
6523,4,0
6347,4,0
6402,4,0
6588,4,0
6416,4,0
6462,4,0
6512,4,0
6457,4,0
6555,4,0
6592,4,0
6625,4,0
6932,4,0
6868,4,0
6652,4,0
6704,4,0
6685,4,0
6731,4,0
6829,4,0
